epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9562.69,0.976,1.0453,1.43474,0.90215,0.86966,0.91366,0.54397,1.40922,0.73435,2.31733,0.0079705,0.0079705,0.0079705
43,9798.98,0.9709,1.02842,1.43376,0.90694,0.86255,0.91463,0.53894,1.41978,0.7418,2.33901,0.007921,0.007921,0.007921
44,10035.2,0.96164,1.02802,1.42854,0.90027,0.86367,0.9079,0.54507,1.40773,0.7412,2.33172,0.0078715,0.0078715,0.0078715
45,10261.7,0.95358,1.01081,1.42261,0.88963,0.86589,0.90945,0.54523,1.41683,0.7243,2.3632,0.007822,0.007822,0.007822
46,10487.9,0.96853,1.02338,1.43059,0.92264,0.86492,0.91475,0.54697,1.41482,0.72596,2.33906,0.0077725,0.0077725,0.0077725
47,10712,0.9521,1.00265,1.42074,0.90817,0.86457,0.91393,0.5465,1.41188,0.71927,2.35076,0.007723,0.007723,0.007723
48,10912.9,0.93968,0.97532,1.41507,0.91272,0.88495,0.92593,0.55243,1.3977,0.71038,2.32507,0.0076735,0.0076735,0.0076735
49,11120.5,0.94594,0.98353,1.41785,0.91934,0.88284,0.92359,0.55127,1.40953,0.69786,2.35505,0.007624,0.007624,0.007624
50,11308.4,0.94339,0.96957,1.414,0.92704,0.873,0.92622,0.55235,1.40746,0.70237,2.35373,0.0075745,0.0075745,0.0075745
51,11509.2,0.94193,0.97063,1.40992,0.91062,0.89426,0.92585,0.55611,1.41358,0.71236,2.34631,0.007525,0.007525,0.007525
52,11734.4,0.9357,0.95611,1.41081,0.93169,0.8766,0.92584,0.5585,1.40921,0.70847,2.34747,0.0074755,0.0074755,0.0074755
53,11945.7,0.93413,0.95137,1.40874,0.91997,0.88572,0.92504,0.55513,1.40724,0.69929,2.35111,0.007426,0.007426,0.007426
54,12162.5,0.93502,0.9504,1.41024,0.92384,0.878,0.924,0.5585,1.40577,0.68208,2.35816,0.0073765,0.0073765,0.0073765
55,12370.4,0.92965,0.94793,1.40346,0.91969,0.87207,0.92412,0.55425,1.40799,0.68309,2.37482,0.007327,0.007327,0.007327
56,12568.9,0.92809,0.93943,1.40033,0.89318,0.88683,0.91849,0.55353,1.39248,0.69177,2.35107,0.0072775,0.0072775,0.0072775
57,12785.1,0.92473,0.94404,1.40017,0.91647,0.884,0.92449,0.55659,1.39808,0.69389,2.34992,0.007228,0.007228,0.007228
58,12994.4,0.92327,0.93168,1.39727,0.93836,0.87548,0.91991,0.55639,1.40778,0.6902,2.36951,0.0071785,0.0071785,0.0071785
59,13230.4,0.9141,0.92915,1.39247,0.90861,0.88659,0.92118,0.55731,1.40555,0.69227,2.37533,0.007129,0.007129,0.007129
60,13451.9,0.91143,0.92003,1.38916,0.92594,0.8818,0.92475,0.55446,1.40808,0.68191,2.37477,0.0070795,0.0070795,0.0070795
61,13667.8,0.90866,0.91051,1.38648,0.91713,0.88318,0.92544,0.55691,1.40541,0.67328,2.36926,0.00703,0.00703,0.00703
62,13865,0.90185,0.8931,1.38753,0.90369,0.89172,0.92873,0.56153,1.39348,0.66521,2.36385,0.0069805,0.0069805,0.0069805
63,14090.6,0.90156,0.88921,1.38281,0.92301,0.88974,0.93157,0.56277,1.39564,0.67095,2.36364,0.006931,0.006931,0.006931
64,14321.4,0.89427,0.88813,1.37798,0.91856,0.88847,0.92747,0.56438,1.39339,0.67227,2.37532,0.0068815,0.0068815,0.0068815
65,14539,0.89623,0.88569,1.38308,0.9287,0.88687,0.92707,0.56235,1.3943,0.67302,2.36719,0.006832,0.006832,0.006832
66,14778.6,0.88936,0.87474,1.37018,0.92997,0.88766,0.92984,0.5665,1.38515,0.66975,2.36342,0.0067825,0.0067825,0.0067825
67,14999.9,0.89028,0.87023,1.37599,0.92229,0.88016,0.92559,0.56328,1.39104,0.67747,2.38267,0.006733,0.006733,0.006733
68,15223.6,0.88845,0.86566,1.37268,0.93134,0.88514,0.93051,0.56404,1.39465,0.67011,2.39011,0.0066835,0.0066835,0.0066835
69,15461.2,0.87799,0.85269,1.36386,0.9327,0.8868,0.93024,0.56155,1.40496,0.66815,2.4015,0.006634,0.006634,0.006634
70,15667.7,0.87943,0.85975,1.36858,0.93692,0.88467,0.93185,0.56161,1.405,0.6639,2.4119,0.0065845,0.0065845,0.0065845
71,15911,0.87545,0.84748,1.36506,0.93122,0.88864,0.92955,0.5621,1.40065,0.65925,2.40343,0.006535,0.006535,0.006535
72,16162.7,0.874,0.84465,1.36357,0.9352,0.88501,0.92712,0.56055,1.40374,0.65497,2.40878,0.0064855,0.0064855,0.0064855
73,16394,0.87145,0.84917,1.36132,0.93773,0.88639,0.92729,0.56422,1.40154,0.65851,2.41801,0.006436,0.006436,0.006436
74,16617.4,0.86442,0.83127,1.35501,0.93342,0.89289,0.93182,0.56568,1.40002,0.66655,2.41904,0.0063865,0.0063865,0.0063865
75,16842.7,0.86623,0.82875,1.35431,0.93548,0.89411,0.93422,0.56622,1.39365,0.67018,2.41793,0.006337,0.006337,0.006337
76,17084.3,0.86511,0.84122,1.35925,0.93327,0.88891,0.93991,0.56629,1.39744,0.6655,2.42407,0.0062875,0.0062875,0.0062875
77,17309.1,0.85887,0.82294,1.34888,0.93716,0.88568,0.94064,0.56685,1.3942,0.65669,2.41415,0.006238,0.006238,0.006238
78,17535.9,0.85078,0.81859,1.34626,0.92931,0.89161,0.9398,0.5674,1.39157,0.65178,2.41001,0.0061885,0.0061885,0.0061885
79,17764,0.8503,0.81405,1.34272,0.92821,0.89433,0.93859,0.56502,1.395,0.6497,2.41314,0.006139,0.006139,0.006139
80,17992.4,0.84687,0.81833,1.34266,0.93423,0.89247,0.94046,0.56716,1.39163,0.64805,2.40887,0.0060895,0.0060895,0.0060895
81,18232.1,0.85221,0.81702,1.3468,0.90443,0.91717,0.93963,0.56504,1.39548,0.65117,2.4164,0.00604,0.00604,0.00604
82,18466.3,0.84764,0.79708,1.33831,0.92528,0.91482,0.94264,0.56586,1.39554,0.64646,2.42477,0.0059905,0.0059905,0.0059905
83,18682.3,0.84249,0.79609,1.34146,0.93105,0.90003,0.94157,0.56524,1.39261,0.64645,2.42234,0.005941,0.005941,0.005941
84,18879.6,0.83845,0.78882,1.33324,0.93241,0.89103,0.94118,0.56377,1.39487,0.64961,2.43222,0.0058915,0.0058915,0.0058915
85,19080.1,0.83901,0.79074,1.33474,0.93013,0.89071,0.93945,0.56407,1.39418,0.64463,2.43689,0.005842,0.005842,0.005842
86,19303,0.83312,0.78704,1.33569,0.93559,0.89062,0.94084,0.56519,1.39697,0.64544,2.44199,0.0057925,0.0057925,0.0057925
87,19515.7,0.82727,0.77711,1.32634,0.93824,0.89001,0.94257,0.56736,1.39748,0.64819,2.44706,0.005743,0.005743,0.005743
88,19718.5,0.82586,0.7736,1.3285,0.93362,0.8934,0.94118,0.56723,1.39924,0.64414,2.45166,0.0056935,0.0056935,0.0056935
89,19908.8,0.82189,0.76533,1.32551,0.92942,0.89456,0.9396,0.56836,1.39824,0.64131,2.45246,0.005644,0.005644,0.005644
90,20114.8,0.82926,0.77716,1.32567,0.91404,0.90294,0.94092,0.56978,1.39929,0.64157,2.45819,0.0055945,0.0055945,0.0055945
91,20340.9,0.82449,0.76726,1.32304,0.90906,0.91585,0.94427,0.57011,1.40024,0.64123,2.46283,0.005545,0.005545,0.005545
92,20548,0.8183,0.76257,1.31902,0.90324,0.91715,0.94291,0.57141,1.40078,0.63835,2.46854,0.0054955,0.0054955,0.0054955
93,20787.6,0.81887,0.76341,1.323,0.94184,0.88392,0.94183,0.57299,1.40162,0.63701,2.47247,0.005446,0.005446,0.005446
94,21022.1,0.81588,0.75274,1.31603,0.91469,0.9093,0.94125,0.57157,1.40201,0.63835,2.47716,0.0053965,0.0053965,0.0053965
95,21252.4,0.80615,0.75027,1.3113,0.91056,0.91184,0.94268,0.5723,1.40037,0.63605,2.47931,0.005347,0.005347,0.005347
96,21497,0.80663,0.74109,1.30874,0.9413,0.88938,0.94218,0.5718,1.40029,0.63384,2.481,0.0052975,0.0052975,0.0052975
