epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,39818.3,0.59689,0.50187,1.16009,0.92309,0.91796,0.94622,0.57962,1.40895,0.62425,2.62094,0.001189,0.001189,0.001189
180,40021.3,0.59751,0.50181,1.15818,0.92472,0.91732,0.94649,0.58012,1.40824,0.62445,2.62148,0.0011395,0.0011395,0.0011395
181,40240.9,0.59204,0.50133,1.15838,0.92955,0.91582,0.94659,0.57952,1.40838,0.62504,2.62344,0.00109,0.00109,0.00109
182,40434.5,0.59031,0.50002,1.15678,0.93025,0.91557,0.94701,0.57986,1.40825,0.62524,2.62533,0.0010405,0.0010405,0.0010405
183,40650.9,0.58372,0.48737,1.15047,0.92966,0.9148,0.94673,0.58057,1.40845,0.62548,2.62699,0.000991,0.000991,0.000991
184,40884.4,0.58018,0.4885,1.14665,0.92977,0.91476,0.94684,0.58093,1.40847,0.62602,2.62829,0.0009415,0.0009415,0.0009415
185,41108.9,0.58824,0.49399,1.15647,0.92943,0.91487,0.94664,0.58107,1.4084,0.6255,2.62982,0.000892,0.000892,0.000892
186,41323.7,0.58085,0.48612,1.15046,0.92932,0.91493,0.94672,0.58103,1.40844,0.62559,2.63206,0.0008425,0.0008425,0.0008425
187,41512.5,0.58022,0.48423,1.14755,0.9291,0.91488,0.94692,0.58065,1.40862,0.62611,2.6343,0.000793,0.000793,0.000793
188,41699.8,0.57736,0.47605,1.14278,0.92917,0.91475,0.9467,0.5809,1.40885,0.62635,2.63678,0.0007435,0.0007435,0.0007435
189,41879.2,0.57705,0.48224,1.14576,0.92818,0.91409,0.94628,0.58127,1.40893,0.62685,2.63918,0.000694,0.000694,0.000694
190,42063.5,0.56987,0.47689,1.14153,0.92808,0.9134,0.9459,0.58131,1.40922,0.62716,2.6416,0.0006445,0.0006445,0.0006445
191,42248.1,0.40775,0.2728,1.10068,0.92789,0.91337,0.94562,0.58135,1.40913,0.62743,2.64407,0.000595,0.000595,0.000595
192,42427,0.39391,0.25624,1.08327,0.92762,0.91345,0.94567,0.58132,1.40899,0.62758,2.64624,0.0005455,0.0005455,0.0005455
193,42611.8,0.38599,0.24989,1.07716,0.92736,0.91362,0.94579,0.58185,1.409,0.62774,2.64869,0.000496,0.000496,0.000496
194,42789.1,0.38037,0.24765,1.07491,0.92797,0.91346,0.94564,0.58173,1.40878,0.62775,2.65084,0.0004465,0.0004465,0.0004465
195,42965.5,0.37629,0.24392,1.06725,0.92945,0.91312,0.94555,0.58163,1.4088,0.62751,2.65388,0.000397,0.000397,0.000397
196,43158.1,0.37119,0.24356,1.06669,0.92841,0.91319,0.94563,0.58288,1.40877,0.6277,2.65692,0.0003475,0.0003475,0.0003475
197,43347.7,0.3663,0.23923,1.05982,0.92796,0.91324,0.94586,0.58195,1.4088,0.62761,2.66044,0.000298,0.000298,0.000298
198,43534.1,0.36392,0.23447,1.05493,0.92848,0.91319,0.94567,0.58178,1.40876,0.62752,2.66365,0.0002485,0.0002485,0.0002485
199,43729.8,0.35703,0.23048,1.0506,0.92891,0.91293,0.94584,0.58177,1.40884,0.62723,2.66698,0.000199,0.000199,0.000199
200,43918,0.35447,0.22872,1.04757,0.9289,0.91284,0.9458,0.58207,1.40901,0.62683,2.67096,0.0001495,0.0001495,0.0001495
